lon,lat,segment_id
-130.07001,50.38000,1
-130.16000,50.33000,1
-130.20000,50.30000,1
-130.24001,50.26000,1
-130.27000,50.21000,1
-130.21001,50.19000,2
-130.23000,50.16000,2
-130.25000,50.14000,2
-130.27000,50.11000,2
-130.30000,50.08000,2
-130.27000,50.06000,3
-130.25000,50.03000,3
-130.23000,49.99000,3
-130.21001,49.95000,3
-130.19000,49.91000,3
-130.23000,49.88000,4
-130.28000,49.85000,4
-130.34000,49.79000,4
-130.39999,49.73000,4
-130.46001,49.64000,4
-130.50000,49.58000,4
-130.53999,49.52000,4
-130.57001,49.47000,4
-130.60001,49.40000,4
-130.63000,49.33000,4
-130.64000,49.24000,4
-130.64999,49.16000,4
-130.53000,49.14000,5
-130.39999,49.13000,5
-130.30000,49.12000,5
-130.00000,49.08000,5
-129.89999,49.04000,5
-129.80000,49.01000,5
-129.69000,48.98000,5
-129.60001,48.95000,5
-129.48000,48.90000,5
-129.39999,48.87000,5
-129.30000,48.84000,5
-129.20000,48.81000,5
-129.10001,48.78000,5
-129.00000,48.73000,5
-128.94000,48.71000,5
-128.92989,48.70750,6
-128.95232,48.63464,6
-128.99715,48.54498,6
-129.05038,48.44410,6
-129.07840,48.39366,6
-129.11000,48.32000,6
-129.12325,48.23394,6
-129.12885,48.15548,6
-128.92429,48.34602,7
-128.95123,48.25693,7
-128.98878,48.14440,7
-129.06879,47.99440,7
-129.10878,47.92440,7
-129.17929,47.79680,7
-129.23253,47.69873,7
-129.26054,47.60345,7
-129.26895,47.54181,7
-130.38709,44.49010,8
-130.20000,44.42000,8
-130.00000,44.35000,8
-129.80000,44.29000,8
-129.62000,44.23000,8
-129.64000,44.15000,9
-129.39999,44.07000,9
-129.20000,44.02000,9
-129.10001,43.99000,9
-129.11000,43.94000,10
-129.00000,43.91000,10
-128.80000,43.86000,10
-128.70000,43.84000,10
-128.69000,43.67000,11
-128.39999,43.58000,11
-128.00000,43.47000,11
-127.60000,43.36000,11
-127.05000,43.22000,11
-127.09000,43.13000,12
-127.00000,43.11000,12
-126.80000,43.05000,12
-126.61000,42.99000,12
-126.61440,42.98145,13
-126.68212,42.85577,13
-126.71000,42.80000,13
-126.76000,42.70000,13
-126.81000,42.60000,13
-126.84771,42.53197,13
-126.88000,42.47000,13
-126.91000,42.40000,13
-126.92000,42.36000,13
-127.02715,42.41556,14
-127.04326,42.36457,14
-127.06000,42.30000,14
